# PVGIS-6 TMY data
# Location: 41.892N, 12.511E
# Elevation: 658m
# Source: PVGIS <https://joint-research-centre.ec.europa.eu/pvgis_en>
# Radiation database: PVGIS-SARAH2
# Nominal power of the PV system: 2000kW
# System losses: 13.0%
# Slope angle: 35 deg
# Azimuth angle: 0 deg (optimum)
#
time;P_Wh;G(i);H_sun;T2m;WS10m
2023-01-01T00:00:00;0.000;0.000;0;13.357;5.063
2023-01-01T01:00:00;0.000;0.000;0;13.741;5.210
2023-01-01T02:00:00;0.000;0.000;0;16.443;4.327
2023-01-01T03:00:00;0.000;0.000;0;14.674;5.415
2023-01-01T04:00:00;0.000;0.000;0;15.359;1.812
2023-01-01T05:00:00;0.000;0.000;0;18.280;8.002
2023-01-01T06:00:00;0.000;0.000;0;15.190;3.332
2023-01-01T07:00:00;496353.633;570521.417;1;22.469;8.257
2023-01-01T08:00:00;576409.526;662539.686;1;21.835;2.432
2023-01-01T09:00:00;768852.960;883739.034;1;24.136;4.088
2023-01-01T10:00:00;800176.777;919743.422;1;21.347;3.275
2023-01-01T11:00:00;996674.219;1145602.550;1;18.825;2.606
2023-01-01T12:00:00;1620585.320;1862741.747;1;20.991;10.596
2023-01-01T13:00:00;1922340.679;2209586.987;1;22.492;5.339
2023-01-01T14:00:00;1578465.003;1814327.590;1;18.396;3.367
2023-01-01T15:00:00;1132393.168;1301601.342;1;19.522;1.831
2023-01-01T16:00:00;1209397.661;1390112.254;1;17.366;3.421
2023-01-01T17:00:00;484694.831;557120.495;1;13.185;8.222
2023-01-01T18:00:00;508255.710;584201.966;1;15.384;5.423
2023-01-01T19:00:00;0.000;0.000;1;13.838;3.822
2023-01-01T20:00:00;0.000;0.000;0;11.285;3.146
2023-01-01T21:00:00;0.000;0.000;0;13.400;1.209
2023-01-01T22:00:00;0.000;0.000;0;16.001;2.949
2023-01-01T23:00:00;0.000;0.000;0;13.658;3.967
2023-01-02T00:00:00;0.000;0.000;0;11.903;3.127
2023-01-02T01:00:00;0.000;0.000;0;17.368;1.604
2023-01-02T02:00:00;0.000;0.000;0;11.372;5.951
2023-01-02T03:00:00;0.000;0.000;0;14.315;1.055
2023-01-02T04:00:00;0.000;0.000;0;20.463;6.345
2023-01-02T05:00:00;0.000;0.000;0;16.435;3.273
2023-01-02T06:00:00;0.000;0.000;0;19.419;2.917
2023-01-02T07:00:00;228832.027;263025.319;1;18.095;2.651
2023-01-02T08:00:00;990051.798;1137990.572;1;22.296;0.451
2023-01-02T09:00:00;800333.207;919923.226;1;21.166;2.917
2023-01-02T10:00:00;1187521.176;1364966.868;1;21.760;5.011
2023-01-02T11:00:00;1619686.053;1861708.107;1;20.903;4.366
2023-01-02T12:00:00;1700904.185;1955062.282;1;19.884;5.325
2023-01-02T13:00:00;1344746.733;1545685.899;1;19.192;1.864
2023-01-02T14:00:00;1150486.929;1322398.769;1;16.911;3.400
2023-01-02T15:00:00;1487383.607;1709636.330;1;17.441;4.660
2023-01-02T16:00:00;1093562.670;1256968.586;1;17.232;1.376
2023-01-02T17:00:00;774810.565;890586.857;1;17.549;1.823
2023-01-02T18:00:00;331415.558;380937.424;1;16.142;9.033
2023-01-02T19:00:00;0.000;0.000;1;12.800;7.655
2023-01-02T20:00:00;0.000;0.000;0;12.535;4.841
2023-01-02T21:00:00;0.000;0.000;0;13.004;0.281
