# PVGIS-6 TMY data
# Location: 37.502N, 15.087E
# Elevation: 789m
# Source: PVGIS <https://joint-research-centre.ec.europa.eu/pvgis_en>
# Radiation database: PVGIS-SARAH2
# Nominal power of the PV system: 2000kW
# System losses: 10.0%
# Slope angle: 35 deg
# Azimuth angle: 0 deg (optimum)
#
time;P_Wh;G(i);H_sun;T2m;WS10m
2023-01-01T00:00:00;0.000;0.000;0;13.535;2.321
2023-01-01T01:00:00;0.000;0.000;0;16.663;10.720
2023-01-01T02:00:00;0.000;0.000;0;16.311;3.262
2023-01-01T03:00:00;0.000;0.000;0;22.822;6.539
2023-01-01T04:00:00;0.000;0.000;0;19.822;8.145
2023-01-01T05:00:00;0.000;0.000;0;22.775;3.254
2023-01-01T06:00:00;0.000;0.000;0;23.173;7.006
2023-01-01T07:00:00;287130.047;319033.386;1;23.924;2.553
2023-01-01T08:00:00;779744.819;866383.132;1;25.692;5.421
2023-01-01T09:00:00;1140290.622;1266989.580;1;23.926;4.234
2023-01-01T10:00:00;1333267.961;1481408.845;1;24.742;3.410
2023-01-01T11:00:00;1215108.010;1350120.011;1;23.900;2.322
2023-01-01T12:00:00;1485143.571;1650159.523;1;20.237;3.464
2023-01-01T13:00:00;1350891.640;1500990.712;1;20.596;7.432
2023-01-01T14:00:00;2072287.512;2302541.680;1;21.868;2.710
2023-01-01T15:00:00;902994.928;1003327.698;1;21.391;8.661
2023-01-01T16:00:00;1101672.399;1224080.443;1;20.752;3.516
2023-01-01T17:00:00;763830.945;848701.050;1;17.761;1.083
2023-01-01T18:00:00;466300.462;518111.624;1;17.670;2.144
2023-01-01T19:00:00;0.000;0.000;1;17.471;5.361
2023-01-01T20:00:00;0.000;0.000;0;17.456;5.714
2023-01-01T21:00:00;0.000;0.000;0;13.139;4.043
2023-01-01T22:00:00;0.000;0.000;0;15.748;2.062
2023-01-01T23:00:00;0.000;0.000;0;13.069;4.693
2023-01-02T00:00:00;0.000;0.000;0;17.142;7.110
2023-01-02T01:00:00;0.000;0.000;0;14.574;4.312
2023-01-02T02:00:00;0.000;0.000;0;17.339;5.017
2023-01-02T03:00:00;0.000;0.000;0;18.338;6.574
2023-01-02T04:00:00;0.000;0.000;0;20.073;2.187
2023-01-02T05:00:00;0.000;0.000;0;20.713;6.243
2023-01-02T06:00:00;0.000;0.000;0;26.072;7.043
2023-01-02T07:00:00;358956.087;398840.097;1;25.277;4.070
2023-01-02T08:00:00;814845.682;905384.091;1;26.170;11.242
2023-01-02T09:00:00;1007630.390;1119589.322;1;23.895;5.519
2023-01-02T10:00:00;1745867.062;1939852.291;1;27.563;2.723
2023-01-02T11:00:00;796780.098;885311.220;1;28.956;4.646
2023-01-02T12:00:00;1609251.049;1788056.721;1;25.809;1.185
2023-01-02T13:00:00;1416258.011;1573620.012;1;24.715;1.685
2023-01-02T14:00:00;1805567.695;2006186.328;1;21.496;3.701
2023-01-02T15:00:00;944807.424;1049786.026;1;25.513;2.667
2023-01-02T16:00:00;915450.177;1017166.863;1;18.483;9.738
2023-01-02T17:00:00;610188.426;677987.140;1;18.397;9.810
2023-01-02T18:00:00;459876.990;510974.434;1;18.841;2.481
2023-01-02T19:00:00;0.000;0.000;1;19.544;4.168
2023-01-02T20:00:00;0.000;0.000;0;16.069;2.578
2023-01-02T21:00:00;0.000;0.000;0;15.443;1.971
2023-01-02T22:00:00;0.000;0.000;0;16.024;2.380
2023-01-02T23:00:00;0.000;0.000;0;16.937;3.126
2023-01-03T00:00:00;0.000;0.000;0;16.248;5.498
2023-01-03T01:00:00;0.000;0.000;0;14.131;4.302
2023-01-03T02:00:00;0.000;0.000;0;19.176;6.735
2023-01-03T03:00:00;0.000;0.000;0;19.145;5.133
2023-01-03T04:00:00;0.000;0.000;0;20.877;2.676
2023-01-03T05:00:00;0.000;0.000;0;20.790;7.242
2023-01-03T06:00:00;0.000;0.000;0;24.237;8.580
2023-01-03T07:00:00;298964.129;332182.365;1;23.688;3.828
2023-01-03T08:00:00;881716.540;979685.045;1;24.674;3.341
2023-01-03T09:00:00;947706.314;1053007.015;1;22.335;0.745
2023-01-03T10:00:00;974164.033;1082404.481;1;23.743;3.907
2023-01-03T11:00:00;851082.926;945647.696;1;26.253;2.875
2023-01-03T12:00:00;1740580.117;1933977.908;1;25.205;1.695
2023-01-03T13:00:00;1322578.394;1469531.548;1;23.580;2.404
2023-01-03T14:00:00;1672428.081;1858253.423;1;19.701;7.865
2023-01-03T15:00:00;1104052.188;1226724.653;1;22.240;2.566
2023-01-03T16:00:00;1053223.579;1170248.421;1;21.135;1.888
2023-01-03T17:00:00;602639.380;669599.311;1;17.919;2.510
2023-01-03T18:00:00;343943.975;382159.972;1;13.454;3.589
2023-01-03T19:00:00;0.000;0.000;1;13.518;5.159
2023-01-03T20:00:00;0.000;0.000;0;15.556;8.027
2023-01-03T21:00:00;0.000;0.000;0;13.466;5.362
2023-01-03T22:00:00;0.000;0.000;0;17.031;6.192
2023-01-03T23:00:00;0.000;0.000;0;16.612;5.788
2023-01-04T00:00:00;0.000;0.000;0;13.333;2.052
2023-01-04T01:00:00;0.000;0.000;0;15.246;5.362
2023-01-04T02:00:00;0.000;0.000;0;14.590;1.917
2023-01-04T03:00:00;0.000;0.000;0;22.526;7.314
2023-01-04T04:00:00;0.000;0.000;0;17.961;5.565
2023-01-04T05:00:00;0.000;0.000;0;23.097;1.526
2023-01-04T06:00:00;0.000;0.000;0;21.523;7.356
2023-01-04T07:00:00;338458.727;376065.253;1;24.171;1.824
2023-01-04T08:00:00;807824.891;897583.212;1;23.943;2.889
2023-01-04T09:00:00;1125896.937;1250996.596;1;25.101;7.011
2023-01-04T10:00:00;1069991.754;1188879.726;1;24.441;5.541
