# PVGIS-6 TMY data
# Location: 51.514N, 7.465E
# Elevation: 973m
# Source: PVGIS <https://joint-research-centre.ec.europa.eu/pvgis_en>
# Radiation database: PVGIS-SARAH2
# Nominal power of the PV system: 2000kW
# System losses: 15.0%
# Slope angle: 35 deg
# Azimuth angle: 0 deg (optimum)
#
time;P_Wh;G(i);H_sun;T2m;WS10m
2023-01-01T00:00:00;0.000;0.000;0;5.990;4.233
2023-01-01T01:00:00;0.000;0.000;0;8.860;2.317
2023-01-01T02:00:00;0.000;0.000;0;4.886;5.412
2023-01-01T03:00:00;0.000;0.000;0;5.128;2.482
2023-01-01T04:00:00;0.000;0.000;0;11.240;2.614
2023-01-01T05:00:00;0.000;0.000;0;13.437;3.922
2023-01-01T06:00:00;0.000;0.000;0;13.029;2.199
2023-01-01T07:00:00;222529.793;261799.757;1;9.837;5.982
2023-01-01T08:00:00;819105.110;963653.071;1;16.236;3.726
2023-01-01T09:00:00;678105.593;797771.286;1;14.415;6.308
2023-01-01T10:00:00;1334994.017;1570581.197;1;15.324;2.420
2023-01-01T11:00:00;1390036.749;1635337.352;1;16.194;1.764
2023-01-01T12:00:00;1881568.745;2213610.288;1;14.445;1.961
2023-01-01T13:00:00;1300673.744;1530204.405;1;14.428;1.882
2023-01-01T14:00:00;1562929.620;1838740.730;1;14.320;6.068
2023-01-01T15:00:00;1513453.300;1780533.294;1;11.430;5.595
2023-01-01T16:00:00;1135482.815;1335862.136;1;10.023;3.986
2023-01-01T17:00:00;468999.859;551764.541;1;6.597;1.942
2023-01-01T18:00:00;352765.134;415017.804;1;7.610;2.194
2023-01-01T19:00:00;0.000;0.000;1;6.752;3.476
2023-01-01T20:00:00;0.000;0.000;0;6.126;6.663
2023-01-01T21:00:00;0.000;0.000;0;5.004;4.238
2023-01-01T22:00:00;0.000;0.000;0;6.153;7.130
2023-01-01T23:00:00;0.000;0.000;0;6.711;5.388
2023-01-02T00:00:00;0.000;0.000;0;4.575;5.056
2023-01-02T01:00:00;0.000;0.000;0;6.095;0.483
2023-01-02T02:00:00;0.000;0.000;0;7.501;4.368
2023-01-02T03:00:00;0.000;0.000;0;5.906;0.411
2023-01-02T04:00:00;0.000;0.000;0;10.940;6.620
2023-01-02T05:00:00;0.000;0.000;0;11.602;2.103
2023-01-02T06:00:00;0.000;0.000;0;13.431;2.769
2023-01-02T07:00:00;273002.900;321179.882;1;12.458;1.715
2023-01-02T08:00:00;703752.646;827944.289;1;15.299;1.836
2023-01-02T09:00:00;969325.072;1140382.438;1;14.511;3.098
2023-01-02T10:00:00;1076500.521;1266471.201;1;17.389;2.277
2023-01-02T11:00:00;674645.941;793701.107;1;15.766;0.899
2023-01-02T12:00:00;1276977.986;1502327.042;1;15.074;5.611
2023-01-02T13:00:00;1247914.113;1468134.250;1;11.535;0.975
2023-01-02T14:00:00;1439952.343;1694061.580;1;12.921;4.741
2023-01-02T15:00:00;1088911.042;1281071.814;1;6.485;5.404
2023-01-02T16:00:00;973507.823;1145303.321;1;9.987;8.639
2023-01-02T17:00:00;757067.077;890667.149;1;11.746;2.882
2023-01-02T18:00:00;301058.873;354186.909;1;7.514;1.718
2023-01-02T19:00:00;0.000;0.000;1;6.571;5.420
2023-01-02T20:00:00;0.000;0.000;0;7.803;9.520
2023-01-02T21:00:00;0.000;0.000;0;3.923;5.590
2023-01-02T22:00:00;0.000;0.000;0;4.866;12.509
2023-01-02T23:00:00;0.000;0.000;0;4.192;6.078
2023-01-03T00:00:00;0.000;0.000;0;6.413;3.990
2023-01-03T01:00:00;0.000;0.000;0;4.832;3.508
2023-01-03T02:00:00;0.000;0.000;0;9.997;4.212
2023-01-03T03:00:00;0.000;0.000;0;8.470;4.364
2023-01-03T04:00:00;0.000;0.000;0;13.175;1.096
2023-01-03T05:00:00;0.000;0.000;0;12.739;6.088
2023-01-03T06:00:00;0.000;0.000;0;11.733;3.151
2023-01-03T07:00:00;308149.504;362528.828;1;12.533;4.646
2023-01-03T08:00:00;847782.872;997391.614;1;14.336;5.238
2023-01-03T09:00:00;890355.086;1047476.572;1;13.236;1.227
2023-01-03T10:00:00;1183321.991;1392143.519;1;15.024;7.738
2023-01-03T11:00:00;1457082.157;1714214.303;1;11.940;1.308
2023-01-03T12:00:00;1982181.014;2331977.663;1;13.319;1.906
2023-01-03T13:00:00;1059251.813;1246178.603;1;15.863;2.338
2023-01-03T14:00:00;2022357.484;2379244.099;1;11.509;7.074
2023-01-03T15:00:00;1383425.161;1627559.013;1;13.033;4.079
2023-01-03T16:00:00;985348.872;1159233.967;1;10.717;5.128
2023-01-03T17:00:00;587488.503;691162.944;1;6.477;2.696
2023-01-03T18:00:00;426086.011;501277.660;1;9.351;4.473
2023-01-03T19:00:00;0.000;0.000;1;6.102;3.297
2023-01-03T20:00:00;0.000;0.000;0;5.332;0.976
2023-01-03T21:00:00;0.000;0.000;0;4.293;2.781
2023-01-03T22:00:00;0.000;0.000;0;7.155;6.398
2023-01-03T23:00:00;0.000;0.000;0;4.815;6.966
2023-01-04T00:00:00;0.000;0.000;0;5.983;4.375
2023-01-04T01:00:00;0.000;0.000;0;7.870;1.522
2023-01-04T02:00:00;0.000;0.000;0;7.562;8.040
